工件,作业标识号,生产物流号,合作序号,锅号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
345,4819437,202508020203,9148176,1,2025-08-12 09:25:41,2025-08-13 09:10:41,0,514,[],514,3,120.0,中色,042100CAJ-25B61831,深色,['深色'],深色,False,纱架,167.0,1,0.0,1425.0,,,,
110,4800945,202506190200,9116316,2,2025-08-13 11:10:41,2025-08-13 15:20:41,0,514,[],514,3,120.0,增白,092100CALM-25W10882,深色,['深色'],深色,False,纱架,175.85,2,1545.0,1795.0,,,,
15,4792919,202505170083,9092528,1,2025-08-14 09:20:41,2025-08-15 10:20:41,0,514,[],514,3,120.0,深色,042100CAJ-25B401529,深色,['深色'],深色,True,纱架,172.85,3,2875.0,4375.0,,,,
18,4792911,202505170223,9093720,1,2025-08-15 12:20:41,2025-08-16 11:25:41,0,514,[],514,3,120.0,浅浅,042120CAJ-25B401555,深色,['深色'],深色,True,纱架,172.85,4,4495.0,5880.0,,,,
12,4792346,202505170082,9092522,1,2025-08-12 09:25:41,2025-08-13 08:30:41,1,515,[],515,3,120.0,浅浅,042100CAJ-25B401531,深色,['深色'],深色,True,纱架,174.85,1,0.0,1385.0,,,,
442,4820124,202402200202,8710538,0,2025-08-13 10:30:41,2025-08-14 11:50:41,1,515,[],515,3,120.0,浅浅,022090JR-23P10139,深色,['深色'],深色,True,纱架,174.85,2,1505.0,3025.0,,,,
3,4792127,202505240010,9100625,15,2025-08-14 13:50:41,2025-08-15 08:30:41,1,515,[],515,3,120.0,浅浅,042100CLJ-05W0028,深色,['深色'],深色,True,纱架,172.85,3,3145.0,4265.0,,,,
10,4792353,202505220016,9098203,1,2025-08-15 10:30:41,2025-08-16 09:35:41,1,515,[],515,3,120.0,深色,042100CAJ-25B401654,深色,['深色'],深色,True,纱架,172.85,4,4385.0,5770.0,,,,
17,4792906,202505170083,9092529,1,2025-08-16 11:35:41,2025-08-17 10:40:41,1,515,[],515,3,120.0,浅浅,042100CAJ-25B401530,深色,['深色'],深色,True,纱架,172.85,5,5890.0,7275.0,,,,
187,4813587,202507180135,9137815,3,2025-08-17 12:40:41,2025-08-17 15:40:41,1,515,[],515,3,120.0,增白,452100CLRK-24W12708,深色,['深色'],深色,False,纱架,172.25,6,7395.0,7575.0,,,,
188,4813583,202507180135,9137810,3,2025-08-18 09:40:41,2025-08-18 12:40:41,1,515,[],515,3,120.0,增白,041050CLJ-24W403109,深色,['深色'],深色,False,纱架,172.25,7,8655.0,8835.0,,,,
107,4800368,202506130054,9113587,2,2025-08-18 14:40:41,2025-08-19 09:40:41,1,515,[],515,3,120.0,增白,452100CLRK-24W11806,深色,['深色'],深色,False,纱架,170.75,8,8955.0,10095.0,,,,
